lsgi_code_ward_number,lsgi_code,lsgi_name,ward_number,ward_name,elected_representative,district,lsgi_type,winning_party,winning_front,votes,year
B13145_9,B13145,Iritty,9,Alayad,C. Shyma,Kannur,Block Panchayat,CPI(M),LDF,2800,2025
B13145_10,B13145,Iritty,10,Thilankery,Ajayan Payam,Kannur,Block Panchayat,NCPSCP,LDF,2184,2025
B13145_11,B13145,Iritty,11,Keezhallur,Maneesha P D,Kannur,Block Panchayat,CPI(M),LDF,3750,2025
B13145_12,B13145,Iritty,12,Elambara,N  K Anitha,Kannur,Block Panchayat,INC,UDF,3604,2025
B13145_13,B13145,Iritty,13,Koodali Town,M.V.Sarala,Kannur,Block Panchayat,CPI(M),LDF,3458,2025
B13145_14,B13145,Iritty,14,Nayattupara,Smitha N V,Kannur,Block Panchayat,CPI(M),LDF,3012,2025
B13136_1,B13136,Kalliassery,1,Pilathara,K Bhanumathi,Kannur,Block Panchayat,CPI(M),LDF,5492,2025
B13136_2,B13136,Kalliassery,2,Cheruthazham,Abdul  Gafoor K P,Kannur,Block Panchayat,CPI(M),LDF,6364,2025
B13136_3,B13136,Kalliassery,3,Ezhome,U  Prakasan,Kannur,Block Panchayat,CPI(M),LDF,5396,2025
B13136_4,B13136,Kalliassery,4,Cherukunnu,Nisha T,Kannur,Block Panchayat,CPI(M),LDF,4105,2025
B13136_5,B13136,Kalliassery,5,Edakkepuram,M Ganesan,Kannur,Block Panchayat,CPI(M),LDF,5181,2025
B13136_6,B13136,Kalliassery,6,Kannapuram,Sreedharan K V,Kannur,Block Panchayat,CPI(M),LDF,4477,2025
B13136_7,B13136,Kalliassery,7,K Kannapuram,C Narayani,Kannur,Block Panchayat,CPI(M),LDF,4358,2025
B13136_8,B13136,Kalliassery,8,Kalliasseri,K C Renuka,Kannur,Block Panchayat,CPI(M),LDF,4707,2025
B13136_9,B13136,Kalliassery,9,Kannadiparamba,K Prasanth Master,Kannur,Block Panchayat,INC,UDF,4321,2025
B13136_10,B13136,Kalliassery,10,Narath,Vishija K,Kannur,Block Panchayat,INC,UDF,5467,2025
B13136_11,B13136,Kalliassery,11,Irinavu,K Preetha,Kannur,Block Panchayat,CPI(M),LDF,5038,2025
B13136_12,B13136,Kalliassery,12,Mattool South,Sainaba C,Kannur,Block Panchayat,IUML,UDF,7204,2025
B13136_13,B13136,Kalliassery,13,Mattool North,Sudheesh Vellachal,Kannur,Block Panchayat,INC,UDF,6345,2025
B13136_14,B13136,Kalliassery,14,Payanagadi,V  K Vjayan,Kannur,Block Panchayat,CPI,LDF,3121,2025
B13136_15,B13136,Kalliassery,15,Madayi,Babitha Kumari R,Kannur,Block Panchayat,CPI(M),LDF,4839,2025
B13136_16,B13136,Kalliassery,16,Puthiyangadi,Sareena,Kannur,Block Panchayat,IUML,UDF,6182,2025
B13140_1,B13140,Kannur,1,Azheekkal,A.Reena,Kannur,Block Panchayat,CPI,LDF,3373,2025
B13140_2,B13140,Kannur,2,Karikkankulam,Shanmukhan,Kannur,Block Panchayat,CPI(M),LDF,3090,2025
B13140_3,B13140,Kannur,3,Keecheri,Balachandran E,Kannur,Block Panchayat,CPI(M),LDF,2111,2025
B13140_4,B13140,Kannur,4,Aroli,A.V. Sathyan,Kannur,Block Panchayat,CPI(M),LDF,2903,2025
B13140_5,B13140,Kannur,5,Arathil,C  H Abdulsalam,Kannur,Block Panchayat,IUML,UDF,3177,2025
B13140_6,B13140,Kannur,6,Kattambally,Nilofar N.P.,Kannur,Block Panchayat,IUML,UDF,3545,2025
B13140_7,B13140,Kannur,7,Puzhathi,Bindu.P,Kannur,Block Panchayat,CPI(M),LDF,2177,2025
B13140_8,B13140,Kannur,8,Puthiyatheru,P.Prasandan,Kannur,Block Panchayat,CPI(M),LDF,2725,2025
B13140_9,B13140,Kannur,9,Chirakkal,Anila P V,Kannur,Block Panchayat,CPI(M),LDF,2396,2025
B13140_10,B13140,Kannur,10,Alavil,Sithara P,Kannur,Block Panchayat,INC,UDF,2656,2025
B13140_11,B13140,Kannur,11,Thekk Bhagam,Jeena A,Kannur,Block Panchayat,INC,UDF,2656,2025
B13140_12,B13140,Kannur,12,Poothappara,Vijesh M,Kannur,Block Panchayat,CPI(M),LDF,3044,2025
B13140_13,B13140,Kannur,13,Vankulath Vayal,Sreerag K V,Kannur,Block Panchayat,CPI(M),LDF,4427,2025
B13140_14,B13140,Kannur,14,Valapattanam,Ramsila K C,Kannur,Block Panchayat,IUML,UDF,3678,2025
B13143_1,B13143,Kuthuparamba,1,Mangattidam,Girija Kalyadan,Kannur,Block Panchayat,CPI(M),LDF,5589,2025
B13143_2,B13143,Kuthuparamba,2,Vattipram,M  Kalavathi,Kannur,Block Panchayat,CPI(M),LDF,4523,2025
B13143_3,B13143,Kuthuparamba,3,Kandamkunnu,Saumya Karayi,Kannur,Block Panchayat,CPI(M),LDF,4396,2025
B13143_4,B13143,Kuthuparamba,4,Manantheri,C C Sahilraj Master,Kannur,Block Panchayat,CPI(M),LDF,4495,2025
B13143_5,B13143,Kuthuparamba,5,Kannavam,O K Anuradha Teacher,Kannur,Block Panchayat,CPI,LDF,3489,2025
B13143_6,B13143,Kuthuparamba,6,Cheruvancheri,N V Shinija,Kannur,Block Panchayat,CPI(M),LDF,3377,2025
B13143_7,B13143,Kuthuparamba,7,Poyilur,Pavithran P P,Kannur,Block Panchayat,RJD,LDF,3373,2025
B13143_8,B13143,Kuthuparamba,8,Triprangottur,Muneera Suhair,Kannur,Block Panchayat,INC,UDF,6764,2025
B13143_9,B13143,Kuthuparamba,9,Kolavallur,Bijisha K,Kannur,Block Panchayat,CPI(M),LDF,4549,2025
B13143_10,B13143,Kuthuparamba,10,Puthur,Rajula P O,Kannur,Block Panchayat,IUML,UDF,5064,2025
B13143_11,B13143,Kuthuparamba,11,Chendayad,Usha M Valiyaparambath,Kannur,Block Panchayat,INC,UDF,3555,2025
B13143_12,B13143,Kuthuparamba,12,Muthiyanga,Muhammed Fayis Arool,Kannur,Block Panchayat,CPI(M),LDF,4652,2025
B13143_13,B13143,Kuthuparamba,13,Pattiam,N Sudheerbabu,Kannur,Block Panchayat,CPI(M),LDF,4698,2025
B13143_14,B13143,Kuthuparamba,14,Kottayam,Shameej K,Kannur,Block Panchayat,CPI(M),LDF,4797,2025
B13143_15,B13143,Kuthuparamba,15,Kinavakkal,P Raghavan,Kannur,Block Panchayat,CPI(M),LDF,3868,2025
B13144_1,B13144,Panoor,1,Kadirur,N. Sudheesh,Kannur,Block Panchayat,CPI(M),LDF,4063,2025
B13144_2,B13144,Panoor,2,Ponnyam,V. V.  Karunan Master,Kannur,Block Panchayat,CPI(M),LDF,2958,2025
B13144_3,B13144,Panoor,3,Vallyayi,Sabira,Kannur,Block Panchayat,CPI(M),LDF,2129,2025
B13144_4,B13144,Panoor,4,Paremmal,Prasani,Kannur,Block Panchayat,CPI(M),LDF,2483,2025
B13144_5,B13144,Panoor,5,Koorara,Praseetha .N,Kannur,Block Panchayat,CPI(M),LDF,2417,2025
B13144_6,B13144,Panoor,6,Arayakool,P. Sathi,Kannur,Block Panchayat,CPI,LDF,2823,2025
B13144_7,B13144,Panoor,7,Panniyannur,K. K. Rajeevan,Kannur,Block Panchayat,CPI(M),LDF,3181,2025
B13144_8,B13144,Panoor,8,Menapram,V. Udayan Master,Kannur,Block Panchayat,CPI(M),LDF,2303,2025
B13144_9,B13144,Panoor,9,Kanhirathin Keezhil,Usha,Kannur,Block Panchayat,CPI(M),LDF,2861,2025
B13144_10,B13144,Panoor,10,Chokli,Miftah .T .V,Kannur,Block Panchayat,CPI(M),LDF,2992,2025
B13144_11,B13144,Panoor,11,Nidumbram,P. K. Mohanan Master,Kannur,Block Panchayat,CPI(M),LDF,3178,2025
B13144_12,B13144,Panoor,12,Champad,Rajesh .K .M,Kannur,Block Panchayat,CPI(M),LDF,4002,2025
B13144_13,B13144,Panoor,13,Kunduchira,Fayzana Rahseed,Kannur,Block Panchayat,CPI(M),LDF,2767,2025
B13144_14,B13144,Panoor,14,Pullyodu,A.  Sangeetha,Kannur,Block Panchayat,CPI(M),LDF,3437,2025
B13137_1,B13137,Payyannur,1,Karivellur,Preetha K V,Kannur,Block Panchayat,CPI(M),LDF,5774,2025
B13137_2,B13137,Payyannur,2,Peralam,Surendran  P P,Kannur,Block Panchayat,CPI(M),LDF,5784,2025
B13137_3,B13137,Payyannur,3,Mathil,Bindu Mol K G,Kannur,Block Panchayat,CPI(M),LDF,5456,2025
B13137_4,B13137,Payyannur,4,Peringome,Fathima Beevi,Kannur,Block Panchayat,CPI(M),LDF,3752,2025
B13137_5,B13137,Payyannur,5,Padiyottuchal,Reshma  V Raju,Kannur,Block Panchayat,INC,UDF,4437,2025
B13137_6,B13137,Payyannur,6,Pulingome,Jomol Teacher Puravakkattu,Kannur,Block Panchayat,KC,UDF,4143,2025
B13137_7,B13137,Payyannur,7,Prapoyil,K K Joyi,Kannur,Block Panchayat,CPI(M),LDF,4249,2025
B13137_8,B13137,Payyannur,8,Perinthatta,K Kamalakshan,Kannur,Block Panchayat,CPI(M),LDF,4932,2025
B13137_9,B13137,Payyannur,9,Vellora,Ajith Kumar Anikkam,Kannur,Block Panchayat,CPI,LDF,4260,2025
B13137_10,B13137,Payyannur,10,Mathamangalam,Sudhamani K,Kannur,Block Panchayat,CPI(M),LDF,5357,2025
B13137_11,B13137,Payyannur,11,Kankol,Sajesh K,Kannur,Block Panchayat,CPI(M),LDF,5542,2025
B13137_12,B13137,Payyannur,12,Kunhimangalam,Vijayan Adukkadan,Kannur,Block Panchayat,CPI(M),LDF,4969,2025
B13137_13,B13137,Payyannur,13,Kunnaru,Shylaja K,Kannur,Block Panchayat,CPI(M),LDF,4501,2025
B13137_14,B13137,Payyannur,14,Ramanthali,K Saseendran,Kannur,Block Panchayat,CPI(M),LDF,4471,2025
B13146_1,B13146,Peravoor,1,Palappuzha,Deepa Gireesh,Kannur,Block Panchayat,INC,UDF,4689,2025
B13146_2,B13146,Peravoor,2,Adakkathode,Mohanan Kolakkadan,Kannur,Block Panchayat,INC,UDF,2865,2025
B13146_3,B13146,Peravoor,3,Ambayathode,Indira Sreedharan,Kannur,Block Panchayat,INC,UDF,3173,2025
B13146_4,B13146,Peravoor,4,Kottiyoor,Jaisha Biju Olattupuram,Kannur,Block Panchayat,INC,UDF,3945,2025
B13146_5,B13146,Peravoor,5,Kelakam,Johny Pambadiyil,Kannur,Block Panchayat,INC,UDF,3045,2025
B13146_6,B13146,Peravoor,6,Kollakkad,Byju Varghese,Kannur,Block Panchayat,INC,UDF,3096,2025
B13146_7,B13146,Peravoor,7,Thundiyil,Lissamma Joseph,Kannur,Block Panchayat,INC,UDF,2763,2025
B13146_8,B13146,Peravoor,8,Peravoor,Noordeen Mullerikkal,Kannur,Block Panchayat,INC,UDF,2821,2025
B13146_9,B13146,Peravoor,9,Kolayad,Yasoda Valsaraj,Kannur,Block Panchayat,INC,UDF,3169,2025
B13146_10,B13146,Peravoor,10,Alacheri,A Shaju,Kannur,Block Panchayat,CPI(M),LDF,3832,2025
B13146_11,B13146,Peravoor,11,Malur,O Prasad,Kannur,Block Panchayat,CPI(M),LDF,4238,2025
B13146_12,B13146,Peravoor,12,Kanhileri,Sheeba,Kannur,Block Panchayat,CPI(M),LDF,3730,2025
B13146_13,B13146,Peravoor,13,Muzhakkunnu,C Gopalan,Kannur,Block Panchayat,CPI(M),LDF,2807,2025
B13146_14,B13146,Peravoor,14,Kakkayangad,Jiji Joy,Kannur,Block Panchayat,CPI(M),LDF,3668,2025
B13138_1,B13138,Taliparamba,1,Therthalli,Jessi,Kannur,Block Panchayat,IND,OTH,4605,2025
B13138_2,B13138,Taliparamba,2,Alakkode,Premalatha,Kannur,Block Panchayat,CPI(M),LDF,4331,2025
B13138_3,B13138,Taliparamba,3,Udayagiri,Ajesh P T,Kannur,Block Panchayat,INC,UDF,5418,2025
B13138_4,B13138,Taliparamba,4,Karthikapuram,Krishnankutti C B,Kannur,Block Panchayat,INC,UDF,3744,2025
B13138_5,B13138,Taliparamba,5,Karuvanchal,V  A Raheem,Kannur,Block Panchayat,IUML,UDF,4483,2025
B13138_6,B13138,Taliparamba,6,Naduvil,Mini Joy,Kannur,Block Panchayat,INC,UDF,5191,2025
B13138_7,B13138,Taliparamba,7,Chuzhali,A  V Bhavani,Kannur,Block Panchayat,CPI(M),LDF,5256,2025
B13138_8,B13138,Taliparamba,8,Chengalayi,Rukhiya,Kannur,Block Panchayat,INC,UDF,5973,2025
B13138_9,B13138,Taliparamba,9,Kurumathur,P  K Kunjiraman,Kannur,Block Panchayat,CPI(M),LDF,5689,2025
B13138_10,B13138,Taliparamba,10,Panniyur,Madhavan,Kannur,Block Panchayat,CPI(M),LDF,4881,2025
B13138_11,B13138,Taliparamba,11,Pattuvam,P.Sreemathi,Kannur,Block Panchayat,CPI(M),LDF,4961,2025
B13138_12,B13138,Taliparamba,12,Pariyaram,Bindu,Kannur,Block Panchayat,INC,UDF,4615,2025
B13138_13,B13138,Taliparamba,13,Kuttiyeri,P.Shaini,Kannur,Block Panchayat,CPI(M),LDF,5981,2025
B13138_14,B13138,Taliparamba,14,Kadannappalli,Madhu,Kannur,Block Panchayat,CPI(M),LDF,4900,2025
B13138_15,B13138,Taliparamba,15,Panappuzha,Preetha,Kannur,Block Panchayat,CPI(M),LDF,4757,2025
B13138_16,B13138,Taliparamba,16,Kooveri,P Prameela,Kannur,Block Panchayat,INC,UDF,3991,2025
B13138_17,B13138,Taliparamba,17,Chapparappadavu,Faseela K,Kannur,Block Panchayat,IUML,UDF,6337,2025
B13142_1,B13142,Thalassery,1,Anjarakandi,Sheeja Chandran T,Kannur,Block Panchayat,INC,UDF,3955,2025
B13142_2,B13142,Thalassery,2,Muzhappala,N Savitha,Kannur,Block Panchayat,CPI(M),LDF,4312,2025
B13142_3,B13142,Thalassery,3,Paduvilayi,E M Vipinlal,Kannur,Block Panchayat,CPI(M),LDF,4752,2025
B13142_4,B13142,Thalassery,4,Vengad,Dipu T,Kannur,Block Panchayat,CPI(M),LDF,4121,2025
B13142_5,B13142,Thalassery,5,Pathiriyad,Reshma K P,Kannur,Block Panchayat,CPI(M),LDF,4733,2025
B13142_6,B13142,Thalassery,6,Eruvatti,A  Sajitha,Kannur,Block Panchayat,CPI(M),LDF,5100,2025
B13142_7,B13142,Thalassery,7,Vadakkumbad,M P Sreesha,Kannur,Block Panchayat,CPI(M),LDF,5697,2025
B13142_8,B13142,Thalassery,8,Erannoli,Viju P,Kannur,Block Panchayat,CPI(M),LDF,4510,2025
B13142_9,B13142,Thalassery,9,New Mahe,Reeja C K,Kannur,Block Panchayat,CPI(M),LDF,3832,2025
B13142_10,B13142,Thalassery,10,Dharmadam,P M Prabhakaran Master,Kannur,Block Panchayat,CPI(M),LDF,4647,2025
B13142_11,B13142,Thalassery,11,Kudakkadavu,A  Reetha,Kannur,Block Panchayat,CPI(M),LDF,3609,2025
B13142_12,B13142,Thalassery,12,Muzhappilangad,N  P Chandradas,Kannur,Block Panchayat,INC,UDF,4173,2025
B13142_13,B13142,Thalassery,13,Palayad,Sindhu V K,Kannur,Block Panchayat,CPI,LDF,4415,2025
B13142_14,B13142,Thalassery,14,Parapram,V V Ramesan,Kannur,Block Panchayat,CPI(M),LDF,6234,2025
B13142_15,B13142,Thalassery,15,Pinarayi,Jasina P,Kannur,Block Panchayat,CPI(M),LDF,5388,2025
B14150_1,B14150,Kanhangad,1,Udma,Suharabi,Kasargod,Block Panchayat,INC,UDF,3145,2025
B14150_2,B14150,Kanhangad,2,Karippodi,Mohammed Basheer,Kasargod,Block Panchayat,IUML,UDF,2956,2025
B14150_3,B14150,Kanhangad,3,Panayal,Mohammed Haneefa  P H,Kasargod,Block Panchayat,INL,LDF,3870,2025
B14150_4,B14150,Kanhangad,4,Velutholi,P Santha,Kasargod,Block Panchayat,CPI(M),LDF,4342,2025
B14150_5,B14150,Kanhangad,5,Periya,Sindhu Padmanabhan,Kasargod,Block Panchayat,INC,UDF,4119,2025
B14150_6,B14150,Kanhangad,6,Pullur,Narayanan Madikkal,Kasargod,Block Panchayat,CPI(M),LDF,3942,2025
B14150_7,B14150,Kanhangad,7,Achikanam,P Govindan,Kasargod,Block Panchayat,CPI,LDF,4572,2025
B14150_8,B14150,Kanhangad,8,Madikkai,K Sujatha,Kasargod,Block Panchayat,CPI(M),LDF,6696,2025
B14150_9,B14150,Kanhangad,9,Mavungal,Bindu  K,Kasargod,Block Panchayat,CPI,LDF,3902,2025
B14150_10,B14150,Kanhangad,10,Madiyan,Manjisha P K,Kasargod,Block Panchayat,CPI(M),LDF,4507,2025
B14150_11,B14150,Kanhangad,11,Ajanur,Abdul Karim,Kasargod,Block Panchayat,IUML,UDF,5208,2025
B14150_12,B14150,Kanhangad,12,Ravaneswaram,Ratheesh Vellamthatta,Kasargod,Block Panchayat,CPI(M),LDF,4591,2025
B14150_13,B14150,Kanhangad,13,Pakkam,Jayasree  M P,Kasargod,Block Panchayat,INC,UDF,4228,2025
B14150_14,B14150,Kanhangad,14,Bekal,Mohammed Haneefa Kunnil,Kasargod,Block Panchayat,IUML,UDF,5197,2025
B14150_15,B14150,Kanhangad,15,Palakunnu,Bindu Sudhan,Kasargod,Block Panchayat,INC,UDF,2995,2025
B14147_1,B14147,Karadka,1,Movvar,Sudhama Gosada,Kasargod,Block Panchayat,BJP,NDA,3668,2025
B14147_2,B14147,Karadka,2,Kumbadaje,Jayananda Kula,Kasargod,Block Panchayat,BJP,NDA,2317,2025
B14147_3,B14147,Karadka,3,Belloor,Usha,Kasargod,Block Panchayat,CPI(M),LDF,2478,2025
B14147_4,B14147,Karadka,4,Aadhur,Roopa  Sathyan,Kasargod,Block Panchayat,INC,UDF,3077,2025
B14147_5,B14147,Karadka,5,Delampady,Gopala G Mayyala,Kasargod,Block Panchayat,INC,UDF,3258,2025
B14147_6,B14147,Karadka,6,Adoor,Jayalakshmi,Kasargod,Block Panchayat,CPI(M),LDF,2901,2025
B14147_7,B14147,Karadka,7,Kuttikol,G Rajeshbabu,Kasargod,Block Panchayat,CPI(M),LDF,3545,2025
B14147_8,B14147,Karadka,8,Padupp,Shameer Kumbakkode,Kasargod,Block Panchayat,CPI(M),LDF,4148,2025
B14147_9,B14147,Karadka,9,Munnad,C Balan,Kasargod,Block Panchayat,CPI(M),LDF,4200,2025
B14147_10,B14147,Karadka,10,Kundamkuzhy,Nisha.A.P.,Kasargod,Block Panchayat,CPI(M),LDF,4308,2025
B14147_11,B14147,Karadka,11,Kolathur,K.Priya,Kasargod,Block Panchayat,CPI(M),LDF,3351,2025
B14147_12,B14147,Karadka,12,Povval,Sandinidevi K,Kasargod,Block Panchayat,INC,UDF,4594,2025
B14147_13,B14147,Karadka,13,Muliyar,Sugandhini K,Kasargod,Block Panchayat,CPI(M),LDF,3110,2025
B14147_14,B14147,Karadka,14,Karadka,Sathyavathi S R,Kasargod,Block Panchayat,CPI(M),LDF,2986,2025
B14149_1,B14149,Kasaragod,1,Arikkady,Naseema P M,Kasargod,Block Panchayat,IUML,UDF,5576,2025
B14149_2,B14149,Kasaragod,2,Mogral,Prithviraj Jaganatha Shetty,Kasargod,Block Panchayat,INC,UDF,3750,2025
B14149_3,B14149,Kasaragod,3,Kumbala Railway Station,Asharaf Karla,Kasargod,Block Panchayat,IUML,UDF,5517,2025
B14149_4,B14149,Kasaragod,4,Eriyal,Zoya Latheef Eriyal,Kasargod,Block Panchayat,INC,UDF,4641,2025
B14149_5,B14149,Kasaragod,5,Choori,Leela,Kasargod,Block Panchayat,BJP,NDA,4682,2025
B14149_6,B14149,Kasaragod,6,Ramdas Nagar,Asmina Habeeb,Kasargod,Block Panchayat,IUML,UDF,3776,2025
B14149_7,B14149,Kasaragod,7,Uliyathaduka,Usha Arjunan,Kasargod,Block Panchayat,INC,UDF,4209,2025
B14149_8,B14149,Kasaragod,8,Bela,Khader Manya,Kasargod,Block Panchayat,INC,UDF,3630,2025
B14149_9,B14149,Kasaragod,9,Neerchal,Mahesh Valakunja,Kasargod,Block Panchayat,BJP,NDA,3952,2025
B14149_10,B14149,Kasaragod,10,Badiadka,M S Moidu Goliyadka,Kasargod,Block Panchayat,IUML,UDF,3591,2025
B14149_11,B14149,Kasaragod,11,Edneer,James C V,Kasargod,Block Panchayat,INC,UDF,4665,2025
B14149_12,B14149,Kasaragod,12,Pady,Sakeena Abdulla Haji Goa,Kasargod,Block Panchayat,IUML,UDF,4193,2025
B14149_13,B14149,Kasaragod,13,Civil Station,Abdulla Kunhi Cherkala,Kasargod,Block Panchayat,IUML,UDF,5596,2025
B14149_14,B14149,Kasaragod,14,Chengala,Nasifa A K Jaleel,Kasargod,Block Panchayat,IUML,UDF,6779,2025
B14149_15,B14149,Kasaragod,15,Thekkil,Anwar Koliyadukkam,Kasargod,Block Panchayat,IUML,UDF,3085,2025
B14149_16,B14149,Kasaragod,16,Kalanad,Mariya Mahin,Kasargod,Block Panchayat,IUML,UDF,4521,2025
B14149_17,B14149,Kasaragod,17,Melparamb,Shahida Afsal Seeslu,Kasargod,Block Panchayat,IUML,UDF,4194,2025
B14149_18,B14149,Kasaragod,18,Chemnad,Safeena Hussain,Kasargod,Block Panchayat,IUML,UDF,4140,2025
B14148_1,B14148,Manjeshwar,1,Kunjathur,Mohammed  Haneefa,Kasargod,Block Panchayat,IUML,UDF,3206,2025
B14148_2,B14148,Manjeshwar,2,Pathoor,Beepathu S A,Kasargod,Block Panchayat,IUML,UDF,3770,2025
B14148_3,B14148,Manjeshwar,3,Muligadde,Abdul Razak Chippar,Kasargod,Block Panchayat,CPI(M),LDF,3651,2025
B14148_4,B14148,Manjeshwar,4,Chevar,Chandravathi,Kasargod,Block Panchayat,BJP,NDA,4548,2025
B14148_5,B14148,Manjeshwar,5,Permude,Mohammed Basheer,Kasargod,Block Panchayat,CPI(M),LDF,3788,2025
B14148_6,B14148,Manjeshwar,6,Enmakaje,Vidya Kumari,Kasargod,Block Panchayat,BJP,NDA,4072,2025
B14148_7,B14148,Manjeshwar,7,Perla,Nafeesath Misiriya,Kasargod,Block Panchayat,INC,UDF,3908,2025
B14148_8,B14148,Manjeshwar,8,Puthige,Mohammed  Junaid. Am Ke,Kasargod,Block Panchayat,INC,UDF,3056,2025
B14148_9,B14148,Manjeshwar,9,Banthiyode,Abdul Asis Marike,Kasargod,Block Panchayat,IUML,UDF,5893,2025
B14148_10,B14148,Manjeshwar,10,Naya Bazar,Jameela,Kasargod,Block Panchayat,IUML,UDF,4523,2025
B14148_11,B14148,Manjeshwar,11,Uppala,Fathimmath  Jaura,Kasargod,Block Panchayat,IUML,UDF,4963,2025
B14148_12,B14148,Manjeshwar,12,Kadambar,Jyothi P Rai,Kasargod,Block Panchayat,BJP,NDA,4294,2025
B14148_13,B14148,Manjeshwar,13,Majeerpalla,Mohan  Rai,Kasargod,Block Panchayat,INC,UDF,3288,2025
B14148_14,B14148,Manjeshwar,14,Dharmanagar,Kamalakshi  K,Kasargod,Block Panchayat,INC,UDF,3192,2025
B14148_15,B14148,Manjeshwar,15,Badaje,Saifulla Yu Ke,Kasargod,Block Panchayat,IUML,UDF,2866,2025
B14148_16,B14148,Manjeshwar,16,Manjeshwar,Nagesh,Kasargod,Block Panchayat,IUML,UDF,3997,2025
B14152_1,B14152,Nileswar,1,Thuruthi,Pradeesh T K,Kasargod,Block Panchayat,CPI,LDF,4031,2025
B14152_2,B14152,Nileswar,2,Cheruvathur,Muhammedali A P,Kasargod,Block Panchayat,IUML,UDF,3416,2025
B14152_3,B14152,Nileswar,3,Klayikode,K.Raju,Kasargod,Block Panchayat,CPI(M),LDF,5122,2025
B14152_4,B14152,Nileswar,4,Kayyur,Sheeba P B,Kasargod,Block Panchayat,CPI(M),LDF,5385,2025
B14152_5,B14152,Nileswar,5,Cheemeni,Sreelatha C T,Kasargod,Block Panchayat,CPI(M),LDF,4153,2025
B14152_6,B14152,Nileswar,6,Puthilot,C M Meenakumari,Kasargod,Block Panchayat,CPI(M),LDF,4452,2025
B14152_7,B14152,Nileswar,7,Kodakkad,P.P.Sukumaran,Kasargod,Block Panchayat,CPI(M),LDF,5289,2025
B14152_8,B14152,Nileswar,8,Pilicode,Sanal P,Kasargod,Block Panchayat,CPI(M),LDF,4847,2025
B14152_9,B14152,Nileswar,9,Udinur,Poomani K,Kasargod,Block Panchayat,CPI(M),LDF,4140,2025
B14152_10,B14152,Nileswar,10,Thrikaripur Town,Shahina M T P,Kasargod,Block Panchayat,IUML,UDF,5646,2025
B14152_11,B14152,Nileswar,11,Thankayam,Ravindran P,Kasargod,Block Panchayat,INC,UDF,3422,2025
B14152_12,B14152,Nileswar,12,Olavara,Suneera V P,Kasargod,Block Panchayat,IUML,UDF,5662,2025
B14152_13,B14152,Nileswar,13,Valayaparamba,K. Sindhu,Kasargod,Block Panchayat,INC,UDF,4843,2025
B14152_14,B14152,Nileswar,14,Padnna,M.K.Asharaf,Kasargod,Block Panchayat,IUML,UDF,5431,2025
B14151_1,B14151,Parappa,1,Kodom,Sinu Kuriakose,Kasargod,Block Panchayat,CPI(M),LDF,4048,2025
B14151_2,B14151,Parappa,2,Kallar,Naseema Abdulla,Kasargod,Block Panchayat,INC,UDF,4379,2025
B14151_3,B14151,Parappa,3,Panathady,Bhavya Raj R,Kasargod,Block Panchayat,CPI(M),LDF,3767,2025
B14151_4,B14151,Parappa,4,Panathur,Suresh B,Kasargod,Block Panchayat,CPI(M),LDF,2923,2025
B14151_5,B14151,Parappa,5,Malom,Jessy Chacko,Kasargod,Block Panchayat,INC,UDF,5427,2025
B14151_6,B14151,Parappa,6,Palavayal,Bhaskaran A V,Kasargod,Block Panchayat,INC,UDF,5362,2025
B14151_7,B14151,Parappa,7,Chittarikkal,Suja Aneesh Pappiniveetil,Kasargod,Block Panchayat,INC,UDF,5576,2025
B14151_8,B14151,Parappa,8,Kamballur,Sony Podimattathil,Kasargod,Block Panchayat,INC,UDF,5389,2025
B14151_9,B14151,Parappa,9,Eleri,E T Jose,Kasargod,Block Panchayat,CPI(M),LDF,4029,2025
B14151_10,B14151,Parappa,10,Balal,Safeena Faisal,Kasargod,Block Panchayat,IUML,UDF,3627,2025
B14151_11,B14151,Parappa,11,Parappa,Chithralekha K P,Kasargod,Block Panchayat,INC,UDF,4023,2025
B14151_12,B14151,Parappa,12,Kinanur,Parakkol Rajan,Kasargod,Block Panchayat,CPI(M),LDF,3898,2025
B14151_13,B14151,Parappa,13,Banam,Bindu C,Kasargod,Block Panchayat,CPI(M),LDF,3518,2025
B14151_14,B14151,Parappa,14,Thayannur,Deepa T K,Kasargod,Block Panchayat,CPI,LDF,3346,2025
B14151_15,B14151,Parappa,15,Belur,P  Gangadharan,Kasargod,Block Panchayat,CPI(M),LDF,2998,2025
B02016_1,B02016,Anchal,1,Edamon,Lali Ashokan,Kollam,Block Panchayat,CPI,LDF,3156,2025
B02016_2,B02016,Anchal,2,Thenmala,Ani Tom,Kollam,Block Panchayat,KC(M),LDF,3623,2025
B02016_3,B02016,Anchal,3,Aryankavu,Mathew (Binu Mathew),Kollam,Block Panchayat,CPI(M),LDF,2877,2025
B02016_4,B02016,Anchal,4,Kulathupuzha,S L Tom,Kollam,Block Panchayat,CPI(M),LDF,3881,2025
B02016_5,B02016,Anchal,5,Karukone,K  G Sabu,Kollam,Block Panchayat,INC,UDF,3627,2025
B02016_6,B02016,Anchal,6,Alayamon,Ambikakumari C,Kollam,Block Panchayat,CPI(M),LDF,2863,2025
B02016_7,B02016,Anchal,7,Anchal,K K Jyothi,Kollam,Block Panchayat,CPI,LDF,3843,2025
B02016_8,B02016,Anchal,8,Edamulakkal,S .J. Prem Raj,Kollam,Block Panchayat,INC,UDF,4207,2025
